review,rating
Makanannya sangat enak dan bergizi.,5
Program makan gratis ini sangat membantu.,4
Saya tidak terlalu suka dengan menu yang diberikan.,2
"Pelayanannya lambat, tapi makanannya oke.",3
Sangat bermanfaat untuk masyarakat kurang mampu.,5
Makanannya enak dan sehat.,5
Program ini sangat bermanfaat untuk kesehatan.,4
Saya merasa lebih bertenaga setelah ikut program ini.,4
Pelayanan cukup baik.,3
Program ini sangat bermanfaat untuk kesehatan.,5
Sangat membantu untuk pola makan sehat.,4
Program ini sangat bermanfaat untuk kesehatan.,5
Layanan sangat bagus dan makanannya bergizi.,5
Program ini sangat bermanfaat untuk kesehatan.,4
Sangat membantu untuk pola makan sehat.,5
Saya merasa lebih bertenaga setelah ikut program ini.,5
Makanannya enak dan sehat.,5
Saya sakit perut setelah mengikuti program ini.,1
Saya kecewa dengan kualitas makanannya.,1
Sangat membantu untuk pola makan sehat.,5
Sangat membantu untuk pola makan sehat.,5
Saya merasa lebih bertenaga setelah ikut program ini.,4
Layanan sangat bagus dan makanannya bergizi.,5
Program ini sangat bermanfaat untuk kesehatan.,5
Sangat membantu untuk pola makan sehat.,5
Saya merasa lebih bertenaga setelah ikut program ini.,4
Sangat membantu untuk pola makan sehat.,5
"Program ini lumayan, tidak terlalu istimewa.",3
Program ini sangat bermanfaat untuk kesehatan.,5
Sangat membantu untuk pola makan sehat.,4
Program ini sangat bermanfaat untuk kesehatan.,5
Saya belum merasakan perubahan besar.,3
Sangat membantu untuk pola makan sehat.,5
Saya merasa lebih bertenaga setelah ikut program ini.,5
"Program ini lumayan, tidak terlalu istimewa.",3
Layanan sangat bagus dan makanannya bergizi.,4
Saya merasa lebih bertenaga setelah ikut program ini.,5
Sangat membantu untuk pola makan sehat.,5
Saya merasa lebih bertenaga setelah ikut program ini.,5
Saya kecewa dengan kualitas makanannya.,2
Program ini sangat bermanfaat untuk kesehatan.,4
Saya sakit perut setelah mengikuti program ini.,2
Saya kecewa dengan kualitas makanannya.,2
Saya kecewa dengan kualitas makanannya.,2
Program ini sangat bermanfaat untuk kesehatan.,4
Layanan sangat bagus dan makanannya bergizi.,5
Program ini sangat bermanfaat untuk kesehatan.,4
Sangat membantu untuk pola makan sehat.,4
Program ini sangat bermanfaat untuk kesehatan.,4
Saya belum merasakan perubahan besar.,3
"Programnya oke, tapi makanannya standar.",3
Makanannya tidak enak dan membosankan.,1
Program ini sangat bermanfaat untuk kesehatan.,4
Sangat membantu untuk pola makan sehat.,5
Layanan sangat bagus dan makanannya bergizi.,4
Saya merasa lebih bertenaga setelah ikut program ini.,5
Program ini sangat bermanfaat untuk kesehatan.,4
Saya kecewa dengan kualitas makanannya.,2
Makanannya enak dan sehat.,5
"Programnya oke, tapi makanannya standar.",3
Layanan sangat bagus dan makanannya bergizi.,4
Pelayanan kurang memuaskan.,1
"Programnya oke, tapi makanannya standar.",3
Saya merasa lebih bertenaga setelah ikut program ini.,4
Saya merasa lebih bertenaga setelah ikut program ini.,5
Makanannya enak dan sehat.,5
Program ini sangat bermanfaat untuk kesehatan.,5
Sangat membantu untuk pola makan sehat.,4
Makanannya enak dan sehat.,5
Makanannya biasa saja.,3
Pelayanan kurang memuaskan.,2
Pelayanan cukup baik.,3
"Program ini lumayan, tidak terlalu istimewa.",3
Makanan tidak sesuai harapan.,1
Makanannya tidak enak dan membosankan.,1
"Programnya oke, tapi makanannya standar.",3
Saya merasa lebih bertenaga setelah ikut program ini.,4
Saya merasa lebih bertenaga setelah ikut program ini.,4
Saya merasa lebih bertenaga setelah ikut program ini.,4
Makanannya enak dan sehat.,4
"Programnya oke, tapi makanannya standar.",3
Makanannya biasa saja.,3
Sangat membantu untuk pola makan sehat.,5
